Origin	Family	Plant_line	Plant_Genotype	Treatment	Beginning_of the_experiment	Name	Date_of_the_observation	number_of_L3_Larvae
S	SF1	H	H3	A	09/06/2016	SF1H3A	04/07/2016	0
S	SF1	H	H9	A	07/06/2016	SF1H9A	04/07/2016	0
S	SF1	L	L4	NoA	09/06/2016	SF1L4NA	04/07/2016	0
S	SF1	L	L6	NoA	07/06/2016	SF1L6NA	04/07/2016	0
S	SF1	L	L7	NoA	07/06/2016	SF1L7NA	04/07/2016	0
S	SF1	H	H2	NoA	07/06/2016	SF1H2NA	04/07/2016	0
S	SF1	H	H3	NoA	09/06/2016	SF1H3NA	04/07/2016	0
S	SF1	H	H9	NoA	09/06/2016	SF1H9NA	04/07/2016	0
S	SF2	L	L4	A	14/06/2016	SF2L4A	04/07/2016	0
S	SF2	L	L6	A	14/06/2016	SF2L6A	04/07/2016	0
S	SF2	L	L7	A	14/06/2016	SF2L7A	04/07/2016	0
S	SF2	H	H2	A	14/06/2016	SF2H2A	04/07/2016	0
S	SF2	H	H3	A	14/06/2016	SF2H3A	04/07/2016	0
S	SF2	H	H9	A	14/06/2016	SF2H9A	04/07/2016	0
S	SF2	L	L4	NoA	14/06/2016	SF2L4NA	04/07/2016	0
S	SF2	L	L6	NoA	14/06/2016	SF2L6NA	04/07/2016	0
S	SF2	L	L7	NoA	14/06/2016	SF2L7NA	04/07/2016	0
S	SF2	H	H2	NoA	14/06/2016	SF2H2NA	04/07/2016	0
S	SF2	H	H3	NoA	14/06/2016	SF2H3NA	04/07/2016	0
S	SF2	H	H9	NoA	14/06/2016	SF2H9NA	04/07/2016	0
S	SF3	L	L6	A	21/06/2016	SF3L6A	04/07/2016	0
S	SF3	L	L7	A	12/06/2016	SF3L7A	04/07/2016	0
S	SF3	H	H2	A	09/06/2016	SF3H2A	04/07/2016	0
S	SF3	H	H3	A	09/06/2016	SF3H3A	04/07/2016	0
S	SF3	H	H9	A	21/06/2016	SF3H9A	04/07/2016	0
S	SF3	L	L4	NoA	09/06/2016	SF3L4NA	04/07/2016	0
S	SF3	L	L6	NoA	12/06/2016	SF3L6NA	04/07/2016	0
S	SF3	L	L7	NoA	09/06/2016	SF3L7NA	04/07/2016	0
S	SF3	H	H3	NoA	09/06/2016	SF3H3NA	04/07/2016	0
S	SF3	H	H9	NoA	21/06/2016	SF3H9NA	04/07/2016	0
S	SF4	L	L4	A	10/06/2016	SF4L4A	04/07/2016	0
S	SF4	L	L6	A	10/06/2016	SF4L6A	04/07/2016	0
S	SF4	L	L7	A	13/06/2016	SF4L7A	04/07/2016	0
S	SF4	H	H2	A	10/06/2016	SF4H2A	04/07/2016	0
S	SF4	H	H3	A	13/06/2016	SF4H3A	04/07/2016	0
S	SF4	H	H9	A	10/06/2016	SF4H9A	04/07/2016	0
S	SF4	L	L4	NoA	10/06/2016	SF4L4NA	04/07/2016	0
S	SF4	L	L6	NoA	13/06/2016	SF4L6NA	04/07/2016	0
S	SF4	L	L7	NoA	10/06/2016	SF4L7NA	04/07/2016	0
S	SF4	H	H2	NoA	13/06/2016	SF4H2NA	04/07/2016	0
S	SF4	H	H3	NoA	10/06/2016	SF4H3NA	04/07/2016	0
S	SF4	H	H9	NoA	10/06/2016	SF4H9NA	04/07/2016	0
S	SF5	L	L4	A	08/06/2016	SF5L4A	04/07/2016	0
S	SF5	L	L6	A	12/06/2016	SF5L6A	04/07/2016	0
S	SF5	L	L7	A	08/06/2016	SF5L7A	04/07/2016	0
S	SF5	H	H2	A	12/06/2016	SF5H2A	04/07/2016	0
S	SF5	H	H3	A	10/06/2016	SF5H3A	04/07/2016	0
S	SF5	H	H9	A	08/06/2016	SF5H9A	04/07/2016	0
S	SF5	L	L4	NoA	08/06/2016	SF5L4NA	04/07/2016	0
S	SF5	L	L6	NoA	27/06/2016	SF5L6NA	04/07/2016	0
S	SF5	L	L7	NoA	08/06/2016	SF5L7NA	04/07/2016	0
S	SF5	H	H2	NoA	08/06/2016	SF5H2NA	04/07/2016	0
S	SF5	H	H3	NoA	10/06/2016	SF5H3NA	04/07/2016	0
S	SF5	H	H9	NoA	10/06/2016	SF5H9NA	04/07/2016	0
E	EF1	L	L4	A	07/06/2016	EF1L4A	05/07/2016	0
E	EF1	L	L6	A	07/06/2016	EF1L6A	05/07/2016	0
E	EF1	L	L7	A	07/06/2016	EF1L7A	05/07/2016	0
E	EF1	H	H2	A	10/06/2016	EF1H2A	05/07/2016	0
E	EF1	H	H3	A	07/06/2016	EF1H3A	05/07/2016	0
E	EF1	H	H9	A	10/06/2016	EF1H9A	05/07/2016	0
E	EF1	L	L4	NoA	07/06/2016	EF1L4NA	05/07/2016	0
E	EF1	L	L6	NoA	07/06/2016	EF1L6NA	05/07/2016	0
E	EF1	L	L7	NoA	10/06/2016	EF1L7NA	05/07/2016	0
E	EF1	H	H2	NoA	10/06/2016	EF1H2NA	05/07/2016	0
E	EF1	H	H3	NoA	07/06/2016	EF1H3NA	05/07/2016	0
E	EF1	H	H9	NoA	07/06/2016	EF1H9NA	05/07/2016	0
E	EF2	L	L4	A	13/06/2016	EF2L4A	05/07/2016	0
E	EF2	L	L6	A	08/06/2016	EF2L6A	05/07/2016	0
E	EF2	L	L7	A	08/06/2016	EF2L7A	05/07/2016	0
E	EF2	H	H2	A	08/06/2016	EF2H2A	05/07/2016	0
E	EF2	H	H3	A	08/06/2016	EF2H3A	05/07/2016	0
E	EF2	H	H9	A	08/06/2016	EF2H9A	05/07/2016	0
E	EF2	L	L4	NoA	08/06/2016	EF2L4NA	05/07/2016	0
E	EF2	L	L6	NoA	08/06/2016	EF2L6NA	05/07/2016	0
E	EF2	L	L7	NoA	08/06/2016	EF2L7NA	05/07/2016	0
E	EF2	H	H2	NoA	08/06/2016	EF2H2NA	05/07/2016	0
E	EF2	H	H3	NoA	13/06/2016	EF2H3NA	05/07/2016	0
E	EF2	H	H9	NoA	08/06/2016	EF2H9NA	05/07/2016	0
E	EF3	L	L4	A	10/06/2016	EF3L4A	05/07/2016	0
E	EF3	L	L6	A	10/06/2016	EF3L6A	05/07/2016	0
E	EF3	L	L7	A	10/06/2016	EF3L7A	05/07/2016	0
E	EF3	H	H2	A	12/06/2016	EF3H2A	05/07/2016	0
E	EF3	H	H3	A	12/06/2016	EF3H3A	05/07/2016	0
E	EF3	H	H9	A	10/06/2016	EF3H9A	05/07/2016	0
E	EF3	L	L4	NoA	12/06/2016	EF3L4NA	05/07/2016	0
E	EF3	L	L6	NoA	10/06/2016	EF3L6NA	05/07/2016	0
E	EF3	L	L7	NoA	12/06/2016	EF3L7NA	05/07/2016	0
E	EF3	H	H2	NoA	10/06/2016	EF3H2NA	05/07/2016	0
E	EF3	H	H3	NoA	10/06/2016	EF3H3NA	05/07/2016	0
E	EF3	H	H9	NoA	10/06/2016	EF3H9NA	05/07/2016	0
E	EF4	L	L4	A	13/06/2016	EF4L4A	05/07/2016	0
E	EF4	L	L6	A	13/06/2016	EF4L6A	05/07/2016	0
E	EF4	L	L7	A	10/06/2016	EF4L7A	05/07/2016	0
E	EF4	H	H2	A	10/06/2016	EF4H2A	05/07/2016	0
E	EF4	H	H3	A	10/06/2016	EF4H3A	05/07/2016	0
E	EF4	H	H9	A	13/06/2016	EF4H9A	05/07/2016	0
E	EF4	L	L4	NoA	10/06/2016	EF4L4NA	05/07/2016	0
E	EF4	L	L6	NoA	10/06/2016	EF4L6NA	05/07/2016	0
E	EF4	L	L7	NoA	13/06/2016	EF4L7NA	05/07/2016	0
E	EF4	H	H2	NoA	10/06/2016	EF4H2NA	05/07/2016	0
E	EF4	H	H3	NoA	13/06/2016	EF4H3NA	05/07/2016	0
E	EF4	H	H9	NoA	13/06/2016	EF4H9NA	05/07/2016	0
S	SF1	L	L4	A	09/06/2016	SF1L4A	05/07/2016	0
S	SF1	L	L6	A	07/06/2016	SF1L6A	05/07/2016	0
S	SF1	L	L7	A	20/06/2016	SF1L7A	05/07/2016	0
S	SF1	H	H2	A	09/06/2016	SF1H2A	05/07/2016	0
S	SF1	H	H3	A	09/06/2016	SF1H3A	05/07/2016	0
S	SF1	H	H9	A	07/06/2016	SF1H9A	05/07/2016	0
S	SF1	L	L4	NoA	09/06/2016	SF1L4NA	05/07/2016	0
S	SF1	L	L6	NoA	07/06/2016	SF1L6NA	05/07/2016	0
S	SF1	L	L7	NoA	07/06/2016	SF1L7NA	05/07/2016	0
S	SF1	H	H2	NoA	07/06/2016	SF1H2NA	05/07/2016	0
S	SF1	H	H3	NoA	09/06/2016	SF1H3NA	05/07/2016	0
S	SF1	H	H9	NoA	09/06/2016	SF1H9NA	05/07/2016	0
S	SF2	L	L4	A	14/06/2016	SF2L4A	05/07/2016	0
S	SF2	L	L6	A	14/06/2016	SF2L6A	05/07/2016	0
S	SF2	L	L7	A	14/06/2016	SF2L7A	05/07/2016	0
S	SF2	H	H2	A	14/06/2016	SF2H2A	05/07/2016	0
S	SF2	H	H3	A	14/06/2016	SF2H3A	05/07/2016	0
S	SF2	H	H9	A	14/06/2016	SF2H9A	05/07/2016	0
S	SF2	L	L4	NoA	14/06/2016	SF2L4NA	05/07/2016	0
S	SF2	L	L6	NoA	14/06/2016	SF2L6NA	05/07/2016	0
S	SF2	L	L7	NoA	14/06/2016	SF2L7NA	05/07/2016	0
S	SF2	H	H2	NoA	14/06/2016	SF2H2NA	05/07/2016	0
S	SF2	H	H3	NoA	14/06/2016	SF2H3NA	05/07/2016	0
S	SF2	H	H9	NoA	14/06/2016	SF2H9NA	05/07/2016	0
S	SF3	L	L6	A	21/06/2016	SF3L6A	05/07/2016	0
S	SF3	L	L7	A	12/06/2016	SF3L7A	05/07/2016	0
S	SF3	H	H2	A	09/06/2016	SF3H2A	05/07/2016	0
S	SF3	H	H3	A	09/06/2016	SF3H3A	05/07/2016	0
S	SF3	H	H9	A	21/06/2016	SF3H9A	05/07/2016	0
S	SF3	L	L4	NoA	09/06/2016	SF3L4NA	05/07/2016	0
S	SF3	L	L6	NoA	12/06/2016	SF3L6NA	05/07/2016	0
S	SF3	L	L7	NoA	09/06/2016	SF3L7NA	05/07/2016	0
S	SF3	H	H3	NoA	09/06/2016	SF3H3NA	05/07/2016	0
S	SF3	H	H9	NoA	21/06/2016	SF3H9NA	05/07/2016	0
S	SF4	L	L4	A	10/06/2016	SF4L4A	05/07/2016	0
S	SF4	L	L6	A	10/06/2016	SF4L6A	05/07/2016	0
S	SF4	L	L7	A	13/06/2016	SF4L7A	05/07/2016	0
S	SF4	H	H2	A	10/06/2016	SF4H2A	05/07/2016	0
S	SF4	H	H3	A	13/06/2016	SF4H3A	05/07/2016	0
S	SF4	H	H9	A	10/06/2016	SF4H9A	05/07/2016	0
S	SF4	L	L4	NoA	10/06/2016	SF4L4NA	05/07/2016	0
S	SF4	L	L6	NoA	13/06/2016	SF4L6NA	05/07/2016	0
S	SF4	L	L7	NoA	10/06/2016	SF4L7NA	05/07/2016	0
S	SF4	H	H2	NoA	13/06/2016	SF4H2NA	05/07/2016	0
S	SF4	H	H3	NoA	10/06/2016	SF4H3NA	05/07/2016	0
S	SF4	H	H9	NoA	10/06/2016	SF4H9NA	05/07/2016	0
S	SF5	L	L4	A	08/06/2016	SF5L4A	05/07/2016	0
S	SF5	L	L6	A	12/06/2016	SF5L6A	05/07/2016	0
S	SF5	L	L7	A	08/06/2016	SF5L7A	05/07/2016	0
S	SF5	H	H2	A	12/06/2016	SF5H2A	05/07/2016	0
S	SF5	H	H3	A	10/06/2016	SF5H3A	05/07/2016	0
S	SF5	H	H9	A	08/06/2016	SF5H9A	05/07/2016	0
S	SF5	L	L4	NoA	08/06/2016	SF5L4NA	05/07/2016	0
S	SF5	L	L6	NoA	27/06/2016	SF5L6NA	05/07/2016	14
S	SF5	L	L7	NoA	08/06/2016	SF5L7NA	05/07/2016	0
S	SF5	H	H2	NoA	08/06/2016	SF5H2NA	05/07/2016	0
S	SF5	H	H3	NoA	10/06/2016	SF5H3NA	05/07/2016	0
S	SF5	H	H9	NoA	10/06/2016	SF5H9NA	05/07/2016	0
E	EF1	L	L4	A	07/06/2016	EF1L4A	06/07/2016	0
E	EF1	L	L6	A	07/06/2016	EF1L6A	06/07/2016	0
E	EF1	L	L7	A	07/06/2016	EF1L7A	06/07/2016	0
E	EF1	H	H2	A	10/06/2016	EF1H2A	06/07/2016	0
E	EF1	H	H3	A	07/06/2016	EF1H3A	06/07/2016	0
E	EF1	H	H9	A	10/06/2016	EF1H9A	06/07/2016	0
E	EF1	L	L4	NoA	07/06/2016	EF1L4NA	06/07/2016	0
E	EF1	L	L6	NoA	07/06/2016	EF1L6NA	06/07/2016	0
E	EF1	L	L7	NoA	10/06/2016	EF1L7NA	06/07/2016	0
E	EF1	H	H2	NoA	10/06/2016	EF1H2NA	06/07/2016	0
E	EF1	H	H3	NoA	07/06/2016	EF1H3NA	06/07/2016	0
E	EF1	H	H9	NoA	07/06/2016	EF1H9NA	06/07/2016	0
E	EF2	L	L4	A	13/06/2016	EF2L4A	06/07/2016	0
E	EF2	L	L6	A	08/06/2016	EF2L6A	06/07/2016	0
E	EF2	L	L7	A	08/06/2016	EF2L7A	06/07/2016	0
E	EF2	H	H2	A	08/06/2016	EF2H2A	06/07/2016	0
E	EF2	H	H3	A	08/06/2016	EF2H3A	06/07/2016	0
E	EF2	H	H9	A	08/06/2016	EF2H9A	06/07/2016	0
E	EF2	L	L4	NoA	08/06/2016	EF2L4NA	06/07/2016	0
E	EF2	L	L6	NoA	08/06/2016	EF2L6NA	06/07/2016	0
E	EF2	L	L7	NoA	08/06/2016	EF2L7NA	06/07/2016	0
E	EF2	H	H2	NoA	08/06/2016	EF2H2NA	06/07/2016	0
E	EF2	H	H3	NoA	13/06/2016	EF2H3NA	06/07/2016	0
E	EF2	H	H9	NoA	08/06/2016	EF2H9NA	06/07/2016	0
E	EF3	L	L4	A	10/06/2016	EF3L4A	06/07/2016	0
E	EF3	L	L6	A	10/06/2016	EF3L6A	06/07/2016	0
E	EF3	L	L7	A	10/06/2016	EF3L7A	06/07/2016	0
E	EF3	H	H2	A	12/06/2016	EF3H2A	06/07/2016	0
E	EF3	H	H3	A	12/06/2016	EF3H3A	06/07/2016	0
E	EF3	H	H9	A	10/06/2016	EF3H9A	06/07/2016	0
E	EF3	L	L4	NoA	12/06/2016	EF3L4NA	06/07/2016	0
E	EF3	L	L6	NoA	10/06/2016	EF3L6NA	06/07/2016	0
E	EF3	L	L7	NoA	12/06/2016	EF3L7NA	06/07/2016	0
E	EF3	H	H2	NoA	10/06/2016	EF3H2NA	06/07/2016	0
E	EF3	H	H3	NoA	10/06/2016	EF3H3NA	06/07/2016	0
E	EF3	H	H9	NoA	10/06/2016	EF3H9NA	06/07/2016	0
E	EF4	L	L4	A	13/06/2016	EF4L4A	06/07/2016	0
E	EF4	L	L6	A	13/06/2016	EF4L6A	06/07/2016	0
E	EF4	L	L7	A	10/06/2016	EF4L7A	06/07/2016	0
E	EF4	H	H2	A	10/06/2016	EF4H2A	06/07/2016	0
E	EF4	H	H3	A	10/06/2016	EF4H3A	06/07/2016	0
E	EF4	H	H9	A	13/06/2016	EF4H9A	06/07/2016	0
E	EF4	L	L4	NoA	10/06/2016	EF4L4NA	06/07/2016	0
E	EF4	L	L6	NoA	10/06/2016	EF4L6NA	06/07/2016	0
E	EF4	L	L7	NoA	13/06/2016	EF4L7NA	06/07/2016	0
E	EF4	H	H2	NoA	10/06/2016	EF4H2NA	06/07/2016	0
E	EF4	H	H3	NoA	13/06/2016	EF4H3NA	06/07/2016	0
E	EF4	H	H9	NoA	13/06/2016	EF4H9NA	06/07/2016	0
S	SF1	L	L4	A	09/06/2016	SF1L4A	06/07/2016	0
S	SF1	L	L6	A	07/06/2016	SF1L6A	06/07/2016	0
S	SF1	L	L7	A	20/06/2016	SF1L7A	06/07/2016	0
S	SF1	H	H2	A	09/06/2016	SF1H2A	06/07/2016	0
S	SF1	H	H3	A	09/06/2016	SF1H3A	06/07/2016	0
S	SF1	H	H9	A	07/06/2016	SF1H9A	06/07/2016	0
S	SF1	L	L4	NoA	09/06/2016	SF1L4NA	06/07/2016	0
S	SF1	L	L6	NoA	07/06/2016	SF1L6NA	06/07/2016	0
S	SF1	L	L7	NoA	07/06/2016	SF1L7NA	06/07/2016	0
S	SF1	H	H2	NoA	07/06/2016	SF1H2NA	06/07/2016	0
S	SF1	H	H3	NoA	09/06/2016	SF1H3NA	06/07/2016	0
S	SF1	H	H9	NoA	09/06/2016	SF1H9NA	06/07/2016	0
S	SF2	L	L4	A	14/06/2016	SF2L4A	06/07/2016	0
S	SF2	L	L6	A	14/06/2016	SF2L6A	06/07/2016	0
S	SF2	L	L7	A	14/06/2016	SF2L7A	06/07/2016	0
S	SF2	H	H2	A	14/06/2016	SF2H2A	06/07/2016	0
S	SF2	H	H3	A	14/06/2016	SF2H3A	06/07/2016	0
S	SF2	H	H9	A	14/06/2016	SF2H9A	06/07/2016	0
S	SF2	L	L4	NoA	14/06/2016	SF2L4NA	06/07/2016	0
S	SF2	L	L6	NoA	14/06/2016	SF2L6NA	06/07/2016	0
S	SF2	L	L7	NoA	14/06/2016	SF2L7NA	06/07/2016	0
S	SF2	H	H2	NoA	14/06/2016	SF2H2NA	06/07/2016	0
S	SF2	H	H3	NoA	14/06/2016	SF2H3NA	06/07/2016	0
S	SF2	H	H9	NoA	14/06/2016	SF2H9NA	06/07/2016	0
S	SF3	L	L6	A	21/06/2016	SF3L6A	06/07/2016	0
S	SF3	L	L7	A	12/06/2016	SF3L7A	06/07/2016	0
S	SF3	H	H2	A	09/06/2016	SF3H2A	06/07/2016	0
S	SF3	H	H3	A	09/06/2016	SF3H3A	06/07/2016	0
S	SF3	H	H9	A	21/06/2016	SF3H9A	06/07/2016	0
S	SF3	L	L4	NoA	09/06/2016	SF3L4NA	06/07/2016	0
S	SF3	L	L6	NoA	12/06/2016	SF3L6NA	06/07/2016	0
S	SF3	L	L7	NoA	09/06/2016	SF3L7NA	06/07/2016	0
S	SF3	H	H3	NoA	09/06/2016	SF3H3NA	06/07/2016	0
S	SF3	H	H9	NoA	21/06/2016	SF3H9NA	06/07/2016	0
S	SF4	L	L4	A	10/06/2016	SF4L4A	06/07/2016	0
S	SF4	L	L6	A	10/06/2016	SF4L6A	06/07/2016	0
S	SF4	L	L7	A	13/06/2016	SF4L7A	06/07/2016	0
S	SF4	H	H2	A	10/06/2016	SF4H2A	06/07/2016	0
S	SF4	H	H3	A	13/06/2016	SF4H3A	06/07/2016	0
S	SF4	H	H9	A	10/06/2016	SF4H9A	06/07/2016	0
S	SF4	L	L4	NoA	10/06/2016	SF4L4NA	06/07/2016	0
S	SF4	L	L6	NoA	13/06/2016	SF4L6NA	06/07/2016	0
S	SF4	L	L7	NoA	10/06/2016	SF4L7NA	06/07/2016	0
S	SF4	H	H2	NoA	13/06/2016	SF4H2NA	06/07/2016	0
S	SF4	H	H3	NoA	10/06/2016	SF4H3NA	06/07/2016	0
S	SF4	H	H9	NoA	10/06/2016	SF4H9NA	06/07/2016	0
S	SF5	L	L4	A	08/06/2016	SF5L4A	06/07/2016	0
S	SF5	L	L6	A	12/06/2016	SF5L6A	06/07/2016	0
S	SF5	L	L7	A	08/06/2016	SF5L7A	06/07/2016	0
S	SF5	H	H2	A	12/06/2016	SF5H2A	06/07/2016	0
S	SF5	H	H3	A	10/06/2016	SF5H3A	06/07/2016	0
S	SF5	H	H9	A	08/06/2016	SF5H9A	06/07/2016	0
S	SF5	L	L4	NoA	08/06/2016	SF5L4NA	06/07/2016	0
S	SF5	L	L6	NoA	27/06/2016	SF5L6NA	06/07/2016	3
S	SF5	L	L7	NoA	08/06/2016	SF5L7NA	06/07/2016	0
S	SF5	H	H2	NoA	08/06/2016	SF5H2NA	06/07/2016	0
S	SF5	H	H3	NoA	10/06/2016	SF5H3NA	06/07/2016	0
S	SF5	H	H9	NoA	10/06/2016	SF5H9NA	06/07/2016	0
